VESSEL_NAME,VESSEL_NO,DIRECTION,NUM_BARGES,ARRIVAL_DATE,SOL_DATE,END_OF_LOCKAGE,TIMEZONE,DELAY_MINS,SEQ_NO
PARKER JAMES (TOW 72' X 30'),1276020,U,3,2023-10-01 14:49:00,2023-10-01 16:45:00,2023-10-01 17:15:00,CST,116,-
LAFITTE,1242386,D,1,2023-10-01 14:18:00,2023-10-01 15:51:00,2023-10-01 16:15:00,CST,93,-
CALIFORNIA CHROME (TOW 2019),1292966,D,6,2023-10-01 14:08:00,2023-10-01 15:40:00,2023-10-01 16:10:00,CST,92,-
MR DEAN (TOW 66X24),596343,U,0,2023-10-01 14:58:00,2023-10-01 15:15:00,2023-10-01 15:35:00,CST,17,-
MISS BETH (TOW),641329,U,1,2023-10-01 14:55:00,2023-10-01 15:05:00,2023-10-01 15:30:00,CST,10,-
MARTIN CHALLENGER (TOW),1051672,U,2,2023-10-01 13:59:00,2023-10-01 14:20:00,2023-10-01 14:52:00,CST,21,-
RALPH C,1292862,D,2,2023-09-21 07:22:00,,,CST,15,
STEVEN M BRYAN (2010) 86X32,1223817,D,2,2023-09-21 04:30:00,,,CST,187,2
BEAU ANDREW (TOW),1209107,U,1,2023-09-21 06:16:00,2023-09-21 06:48:00,2023-09-21 07:10:00,CST,32,-
T H KELLY (TOW),693109,U,2,2023-09-21 02:52:00,2023-09-21 06:40:00,2023-09-21 07:05:00,CST,228,-
TENSAW (TOW 65X26 ),1186668,D,1,2023-09-21 03:14:00,2023-09-21 05:49:00,2023-09-21 06:18:00,CST,155,-
CAPT ANTHONY (TOW 2011),1232275,D,1,2023-09-21 00:26:00,2023-09-21 05:36:00,2023-09-21 06:24:00,CST,310,-
MADELINE ( TOW 2008 ),1209145,D,2,2023-09-21 01:33:00,2023-09-21 05:26:00,2023-09-21 06:12:00,CST,233,-
BLESSED TRINITY (TOW),1216547,U,6,2023-09-21 02:07:00,2023-09-21 04:27:00,2023-09-21 04:52:00,CST,140,-
HALLIE T,1270439,U,6,2023-09-20 22:35:00,2023-09-21 03:45:00,2023-09-21 04:11:00,CST,310,-
